week_ending_date,demographic,vaccination_coverage_status,pregnancy_status_at_vaccination,estimate,denominator,race_order,figure_id,preg_vac_order
2021-01-09T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0,103890,1,1,2
2021-01-16T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.1,104250,1,1,2
2021-01-23T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.2,104326,1,1,2
2021-01-30T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.3,104623,1,1,2
2021-02-06T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.5,104946,1,1,2
2021-02-13T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.7,104927,1,1,2
2021-02-20T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.9,105005,1,1,2
2021-02-27T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1,105186,1,1,2
2021-03-06T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.2,105374,1,1,2
2021-03-13T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.3,105426,1,1,2
2021-03-20T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.4,105416,1,1,2
2021-03-27T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.6,105411,1,1,2
2021-04-03T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.9,105268,1,1,2
2021-04-10T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.2,105282,1,1,2
2021-04-17T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.5,105334,1,1,2
2021-04-24T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.7,105124,1,1,2
2021-05-01T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3,105018,1,1,2
2021-05-08T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.4,104992,1,1,2
2021-05-15T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.7,104992,1,1,2
2021-05-22T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.9,105044,1,1,2
2021-05-29T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4,104914,1,1,2
2021-06-05T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.1,104718,1,1,2
2021-06-12T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,104721,1,1,2
2021-06-19T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104629,1,1,2
2021-06-26T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104633,1,1,2
2021-07-03T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104400,1,1,2
2021-07-10T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104178,1,1,2
2021-07-17T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104033,1,1,2
2021-07-24T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,103905,1,1,2
2021-07-31T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,103746,1,1,2
2021-08-07T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,103612,1,1,2
2021-08-14T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,103349,1,1,2
2021-08-21T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,103173,1,1,2
2021-08-28T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.4,102762,1,1,2
2021-09-04T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.5,102509,1,1,2
2021-09-11T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.6,102196,1,1,2
2021-09-18T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.6,102038,1,1,2
2021-09-25T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,101757,1,1,2
2021-10-02T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,101559,1,1,2
2021-10-09T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,101430,1,1,2
2021-10-16T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,101314,1,1,2
2021-10-23T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,101246,1,1,2
2021-10-30T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.7,101207,1,1,2
2021-11-06T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.6,101361,1,1,2
2021-11-13T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.5,101487,1,1,2
2021-11-20T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.4,101537,1,1,2
2021-11-27T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,101778,1,1,2
2021-12-04T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,102108,1,1,2
2021-12-11T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.1,101925,1,1,2
2021-12-18T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.9,102046,1,1,2
2021-12-25T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.8,101941,1,1,2
2022-01-01T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.6,102144,1,1,2
2022-01-08T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.3,102176,1,1,2
2022-01-15T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.2,102140,1,1,2
2022-01-22T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3,102076,1,1,2
2022-01-29T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.7,102185,1,1,2
2022-02-05T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.5,102404,1,1,2
2022-02-12T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.3,102318,1,1,2
2021-12-25T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,68.3,101941,1,2,NULL
2022-01-01T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,68.7,102144,1,2,NULL
2022-01-08T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,69,102176,1,2,NULL
2022-01-15T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,69.4,102140,1,2,NULL
2022-01-22T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,69.7,102076,1,2,NULL
2022-01-29T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,70.1,102185,1,2,NULL
2022-02-05T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,70.4,102404,1,2,NULL
2022-02-12T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,70.7,102318,1,2,NULL
2022-02-19T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,70.8,102158,1,2,NULL
2021-09-04T00:00:00.000,"Black, NH",Fully Vaccinated,Any,30.9,7541,3,2,NULL
2021-09-11T00:00:00.000,"Black, NH",Fully Vaccinated,Any,33.2,7503,3,2,NULL
2021-09-18T00:00:00.000,"Black, NH",Fully Vaccinated,Any,34.9,7472,3,2,NULL
2021-09-25T00:00:00.000,"Black, NH",Fully Vaccinated,Any,37.2,7455,3,2,NULL
2021-10-02T00:00:00.000,"Black, NH",Fully Vaccinated,Any,38.8,7455,3,2,NULL
2021-10-09T00:00:00.000,"Black, NH",Fully Vaccinated,Any,40.5,7452,3,2,NULL
2021-10-16T00:00:00.000,"Black, NH",Fully Vaccinated,Any,41.7,7462,3,2,NULL
2021-10-23T00:00:00.000,"Black, NH",Fully Vaccinated,Any,43.2,7467,3,2,NULL
2021-10-30T00:00:00.000,"Black, NH",Fully Vaccinated,Any,44.7,7468,3,2,NULL
2021-11-06T00:00:00.000,"Black, NH",Fully Vaccinated,Any,46,7532,3,2,NULL
2022-02-26T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71,102250,1,2,NULL
2022-03-05T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.1,102305,1,2,NULL
2022-03-12T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.2,102234,1,2,NULL
2022-03-19T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,102132,1,2,NULL
2022-03-26T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,102044,1,2,NULL
2022-04-02T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,101916,1,2,NULL
2022-04-09T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,101836,1,2,NULL
2022-04-16T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,101844,1,2,NULL
2022-04-23T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,101838,1,2,NULL
2022-04-30T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101818,1,2,NULL
2022-05-07T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101806,1,2,NULL
2022-05-14T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101657,1,2,NULL
2022-05-21T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101596,1,2,NULL
2022-05-28T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101453,1,2,NULL
2022-06-04T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.8,101248,1,2,NULL
2022-06-11T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.8,101227,1,2,NULL
2022-06-18T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101178,1,2,NULL
2022-06-25T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101270,1,2,NULL
